site,n,rf,mlp,met,eto,bias
US-Esm,915,-0.04672448865214851,-0.21194021818121112,0.2397072781062175,-1.5667050721266724,0.26371496012857293
US-TaS,1038,-1.8220921739547364,-2.5713879476632067,-1.35477429577739,-4.756521967606976,1.4953271488643225
US-Skr,429,0.15849489044340326,-1.0946505417596253,0.06403275767094396,-0.5201011585042501,-0.06402622890250463
US-Elm,235,0.20667078946744866,0.2704515773614711,0.022096827472444125,-0.09739668725445672,-0.4872620807913842
US-EvM,462,-0.1110366065316506,0.06296417448151481,-0.3696813820351754,0.17420068989789994,-1.065742677339572
