,VIF_full
EVI2,8455.668536415007
SAVI,6604.434036407066
LAI,203.16339476746668
NDWI,24.36451779106523
MNDWI,24.114147336010575
NDVI,22.73934269877431
ETo_mm,8.484096591501485
SW_IN_ERA,8.29284801464192
TA_ERA,7.2381925106482825
LST_K,7.121632679378828
DOY_cos,5.729619616609596
VPD_ERA,1.9751208707859473
DOY_sin,1.8498055727968452
WS_ERA,1.3694939140398772
