model,kfold,leave_year,leave_site
Plain-ET (tree),0.8083837518489613,0.785069839250244,0.7197695431745679
EF-constrained (tree),0.7386095067638202,0.742252969195352,0.5812201239307901
PT-constrained (tree),0.7411650736588669,0.7381020590390637,0.5835740537602576
PINN-PT (alpha),0.7446484625967031,0.6722276509253097,0.6000787290769196
"PINN-EB (LE,H soft)",0.327026801863301,-0.5572952290990243,0.27262917695314004
