group,kfold,leave_year,leave_site
ETo only (1),0.6500129446639639,0.7156463762385146,0.6215078715227607
MET no ETo (6),0.7666976584950793,0.7634714822111829,0.7034600214749653
MET all (7),0.766360826103885,0.7796778400260347,0.7158555275719132
SAT green (4),0.22971380431317412,0.4462889862886865,-0.0030742302978707947
SAT water+LST (3),0.5389768579592613,0.6262866531043385,0.2831135315303922
SAT all (7),0.5931683597338571,0.6224385818312779,0.28100549021102195
SAT + ETo (8),0.7486401652689942,0.7577980229103277,0.6214780681570593
FULL (14),0.8053343298583463,0.7838032330899465,0.7154319278109573
